ID,Tipo,Nombre_producto_API,Version_producto,Nombre_de_servicio/API,Nombre_Tecnico_API,Componente_menor,EVC,Nombre_equipo,Servicio_proveedor,Consumidores,QMANAGER,Namespace
814,Servicio,No Aplica,No Aplica,Notificacion Respuesta Documental,No Aplica,Automatización de Procesos ,Evolución Digital,Evolución Digital,,"AW0922 _x000D_
AW1108001",,
815,Servicio,No Aplica,No Aplica,Notificacion Transacciones Nequi,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,SVP,,
816,Servicio,No Aplica,No Aplica,Notificacion Validacion Biometrica,No Aplica,Sufi,SUFI,Sufi,,"AW1142001 _x000D_
AW1081001",,
817,Servicio,No Aplica,No Aplica,Notificar Estado Solicitud De Credito_BB12,No Aplica,Automatización de Procesos ,Evolución Digital,Evolución Digital,,"AW0499 _x000D_
AW1176 _x000D_
AW0856 _x000D_
Carvajal",,
818,API IBM Cloud ,Notification Generate Report,101,Notification To Generate Report,Tec-Loans-Notification-To-Generate-Report,Crédito,Financiación y consumo,,NotificacionEnvioReportePrestamo/V1.0,"PortalLibranzas_AW0360007 _x000D_
 BC_Herramientas_MonitoreoPrd",,
819,API ONPREMISE,Notifications,100,Notifications - Alert and Notifications Information,notifications-alert-and-notifications-information,Trasversales e Inclusión,Distribución Digital,No Aplica,ConsultaDatosAlertasyNotificaciones/V1.0,"AppInversiones_AW1185001 _x000D_
 Recargas_AW1300001 _x000D_
 EDPYME_AW1170 _x000D_
 Desbloqueo-Clave-Dinamica-TDC_NU0100001 _x000D_
 Autorizador-Digitalizacion-Tarjetas_NU0103001 _x000D_
 EASYHOME_NU0004001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 aprobaciones_AW0360007 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 JornadaPagos_AW1316001 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 LoansOffer_NU0102001 _x000D_
 BancolombiaPay_AW1435001 _x000D_
 HelpContacts_NU0106001 _x000D_
 SecurityOTP_NU0209001 _x000D_
 ALM_AW0955001 _x000D_
 BNPL_NU0287001 _x000D_
 VINCUTRANS_NU0034001 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 PreaprobadosSucursales_AW1299001",,
820,API ONPREMISE,Notifications,300,Notifications - Alert and Notifications Information,notifications-alert-and-notifications-subscription,Trasversales e Inclusión,Distribución Digital,No Aplica,ConsultaDatosAlertasyNotificaciones/V1.0,No tiene,,
821,API ONPREMISE,Notifications,100,Notifications - Alert and Notifications Subscription,notifications-send-alerts-and-notifications,Trasversales e Inclusión,Distribución Digital,No Aplica,GestionAlertasyNotificaciones/V1.0,"AppInversiones_AW1185001 _x000D_
 Recargas_AW1300001 _x000D_
 EDPYME_AW1170 _x000D_
 Desbloqueo-Clave-Dinamica-TDC_NU0100001 _x000D_
 Autorizador-Digitalizacion-Tarjetas_NU0103001 _x000D_
 EASYHOME_NU0004001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 aprobaciones_AW0360007 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 JornadaPagos_AW1316001 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 LoansOffer_NU0102001 _x000D_
 BancolombiaPay_AW1435001 _x000D_
 HelpContacts_NU0106001 _x000D_
 SecurityOTP_NU0209001 _x000D_
 ALM_AW0955001 _x000D_
 BNPL_NU0287001 _x000D_
 VINCUTRANS_NU0034001 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 PreaprobadosSucursales_AW1299001",,
822,API ONPREMISE,Notifications,300,Notifications - Alert and Notifications Subscription,,Trasversales e Inclusión,Distribución Digital,No Aplica,GestionAlertasyNotificaciones/V1.0,No tiene,,
823,API ONPREMISE,Notifications,100,Notifications - Send Alerts And Notifications,,Trasversales e Inclusión,Distribución Digital,No Aplica,EnvioAlertasYNotificaciones/V1.0,"AppInversiones_AW1185001 _x000D_
 Recargas_AW1300001 _x000D_
 EDPYME_AW1170 _x000D_
 Desbloqueo-Clave-Dinamica-TDC_NU0100001 _x000D_
 Autorizador-Digitalizacion-Tarjetas_NU0103001 _x000D_
 EASYHOME_NU0004001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 aprobaciones_AW0360007 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 JornadaPagos_AW1316001 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 LoansOffer_NU0102001 _x000D_
 BancolombiaPay_AW1435001 _x000D_
 HelpContacts_NU0106001 _x000D_
 SecurityOTP_NU0209001 _x000D_
 ALM_AW0955001 _x000D_
 BNPL_NU0287001 _x000D_
 VINCUTRANS_NU0034001 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 PreaprobadosSucursales_AW1299001",,
824,API ONPREMISE,Notifications,300,Notifications - Send Alerts And Notifications,,Trasversales e Inclusión,Distribución Digital,No Aplica,EnvioAlertasYNotificaciones/V1.0,No tiene,,
825,Servicio,No Aplica,No Aplica,Novedades Tarjetas Credito,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,PRODUCTORCONSUMIDOR,,
826,Servicio,No Aplica,No Aplica,Novedades Tarjetas Debito,No Aplica,Debito y Prepago,Medios de pago Emision,Tarjetas Débito,,PRODUCTORCONSUMIDOR,,
827,API IBM Cloud ,Security,111,OAuth - Provider from OTP,oauth-otp,Trasversales e Inclusión,Distribución Digital,No Aplica,GeneracionToken/V1.0,"CHATBOT _x000D_
 Vinculación Digital _x000D_
 Dummy _x000D_
 Remitly APP1_RTY _x000D_
 BC Portal de Contenido_AW1218001 _x000D_
 TransferWise_TNW",,
828,API IBM Cloud ,Security,111,OAuth - Provider from OTP Pymes,oauth-otp-pymes,SOA y APIs,Servicios e Integració​​​​​​​​​​​​​​n,No Aplica,GeneracionToken/V1.0,"CHATBOT _x000D_
 Vinculación Digital _x000D_
 Dummy _x000D_
 Remitly APP1_RTY _x000D_
 BC Portal de Contenido_AW1218001 _x000D_
 TransferWise_TNW",,
829,Servicio,No Aplica,No Aplica,Obligaciones Hipotecario,No Aplica,Hipotecario,Inmobiliario,Hipotecario,,AW1294001,,
830,API ONPREMISE,Obligations,100,Obligations - Maintenance,obligations-maintenance,Crédito,Financiación y Consumo,Experiencia de Cartera,MantenimientoObligacionesCartera/V1.0,MonitoreoDCM_NU0084001,,
831,Servicio,No Aplica,No Aplica,Oferta Comercial Tarjetas Credito,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,AW1285001,,
832,Servicio,No Aplica,No Aplica,Oferta Cuentas Depositos,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"PRODUCTORCONSUMIDOR _x000D_
NU0170001 _x000D_
AW0000852",,
833,API ONPREMISE,Offer,105,Offer - Offers,offer-offers,Ecosistemas,ECOSISTEMAS,No Aplica,,"CGC_NU0014001 _x000D_
 Portal Contenidos Bancolombia_AW1218001",,
834,API ONPREMISE,Operation Leasing,101,Operation Leasing - Information,operation-leasing-information,Leasing,Leasing,Leasing,,"SVETDL_AW0360006 _x000D_
 PORTALCOBRANZA_AW1294001 _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 ModuloSVELeasing_AW0360006",,
835,Servicio,No Aplica,No Aplica,Pagar Credito Hipotecario,No Aplica,Hipotecario,Inmobiliario,Hipotecario,,"SCI _x000D_
SVP _x000D_
GDE _x000D_
AW01010 _x000D_
AUD",,
836,Servicio,No Aplica,No Aplica,Pagar Tarjeta Credito,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
837,Servicio,No Aplica,No Aplica,Paginacion Fondos Fiduciarios,No Aplica,Negocios Fiduciarios y Fondos,Inversiones,No Aplica,,AW1187001,,
838,Servicio,No Aplica,No Aplica,Pago Con Transferencia,No Aplica,Debito y Prepago,Por Definir,Por Definir,,"BDT _x000D_
AW1165 _x000D_
APICONNECT",,
839,Servicio,No Aplica,No Aplica,Pago Credito Hipotecario,No Aplica,Hipotecario,Inmobiliario,Hipotecario,,"SVE _x000D_
NU0004001 _x000D_
DEVELOPSOATEST _x000D_
NU0166001",,
840,Servicio,No Aplica,No Aplica,Pago De Facturas,No Aplica,Pagos y Recaudos,Gestión de flujos,Recaudos,,"SAI _x000D_
PAC _x000D_
SCI _x000D_
CNB _x000D_
ALM _x000D_
SVP _x000D_
ALL _x000D_
GDE _x000D_
APP _x000D_
PSE _x000D_
SVE _x000D_
ATM _x000D_
AUD _x000D_
FAC _x000D_
AW0360",,
