ID,Tipo,Nombre_producto_API,Version_producto,Nombre_de_servicio/API,Nombre_Tecnico_API,Componente_menor,EVC,Nombre_equipo,Servicio_proveedor,Consumidores,QMANAGER,Namespace
1,Servicio,No Aplica,No Aplica,Acceder Acuerdo Trade,No Aplica,Captaciones,Financiación y consumo,Captaciones,,"AW0718001 _x000D_
AW0504001 _x000D_
AW0360",,
2,Servicio,No Aplica,No Aplica,Acceder Negociaciones De Divisas,No Aplica,Tesoreria,Tesoreria,No Aplica,,"SVE _x000D_
AW0360",,
3,API ONPREMISE,Accounts,1910,Account - Accounts,account-accounts,Captaciones,Depósitos y cuentas especiales,Depósitos,ConsultaCuentasDepositos/V1.0,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
4,API ONPREMISE,Accounts AWS,110,Account - Accounts AWS,account-accounts-aws,Captaciones,Depósitos y cuentas especiales,Depósitos,,"ALM_AW0955 _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 LoansOffer_NU0102001",,
5,API IBM Cloud ,Accounts,130,Account - Balances,account-balances,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,ConsultaSaldosCuentasDepositos/V1.0,"APP Cayman _x000D_
 Cayman_Soporte _x000D_
 TMP EDIN APP_AW1276001 _x000D_
 TEMP MAM_AW1204 _x000D_
 BC_Herramientas_Monitoreo _x000D_
 TMP1 johucorr_AW0360010 _x000D_
 APOLO_AW0360010 _x000D_
 App inversionesGB_AW1185001",,
6,API ONPREMISE,Accounts AWS,110,Account - Balances AWS,account-balances-aws,Captaciones,Depósitos y cuentas especiales,Depósitos,,"ALM_AW0955 _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 LoansOffer_NU0102001",,
7,API ONPREMISE,Accounts,1910,Account - Fund Transfers,account-fund-transfers,Captaciones,Depósitos y cuentas especiales,Depósitos,,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
8,API IBM Cloud ,Accounts,130,Account - Information,account-information,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,"APP Cayman _x000D_
 Cayman_Soporte _x000D_
 TMP EDIN APP_AW1276001 _x000D_
 TEMP MAM_AW1204 _x000D_
 BC_Herramientas_Monitoreo _x000D_
 TMP1 johucorr_AW0360010 _x000D_
 APOLO_AW0360010 _x000D_
 App inversionesGB_AW1185001",,
9,API ONPREMISE,Accounts,1910,Account - Management,account-management,Captaciones,Depósitos y cuentas especiales,Depósitos,GestionDeCuentasDepositos/V1.0,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
10,API ONPREMISE,Accounts,1910,Account - Offers,account-offers,Captaciones,Depósitos y cuentas especiales,Depósitos,OfertaCuentasDepositos/V1.0,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
11,API ONPREMISE,Accounts,1910,Account - Participants,account-participants,Captaciones,Depósitos y cuentas especiales,Depósitos,ConsultaCuentasDepositos/V1.0,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
12,API ONPREMISE,Accounts,1910,Account - Taxes,account-taxes,Captaciones,Depósitos y cuentas especiales,Depósitos,ConsultaGMF/V1.0,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
13,API ONPREMISE,Accounts,1910,Account - Transfers,account-transfers,Captaciones,Depósitos y cuentas especiales,Depósitos,TransferenciasCuentasDepositos/V1.0,"BC_Monitoreo_ProductorConsumidor_Depositos _x000D_
 CapaTrx_ProductorConsumidor _x000D_
 APPVinculation_AW1315014 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Deposits-Openshift_PRODUCTORCONSUMIDOR _x000D_
 FONDOS_AW1365 _x000D_
 Valores_AW1373 _x000D_
 PagoSinFriccionQrInteroperable_AW1315001 _x000D_
 JornadaDepositos_NU0104001 _x000D_
 GestorCanal_NU0014001 _x000D_
 Openshift_AW1333002_AccountCertificates _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Decision-Manager_NU0010001 _x000D_
 PRODUCTORCONSUMIDOR_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 JornadaDepositos_NU0170001 _x000D_
 Horus_AW1258011 _x000D_
 CryptoAssetsGMN_NU0094001 _x000D_
 GESTION DE PRECIOS_NU0091001 _x000D_
 APP-PERSONAS_NU0146001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 BancolombiaPay_AW1435001 _x000D_
 TransaccionPago_AW0360006 _x000D_
 ALM_AW0955001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 RIGO_NU0135001 _x000D_
 JornadaDepositos_AW1177001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 Dcmonroy_prueba_paso _x000D_
 AdquirenciaCargaMasiva_NU0142001 _x000D_
 SEG_NU0064001",,
14,API IBM Cloud ,Accounts Foreign Branches,110,Accounts Foreign Branches - Account Balances,accounts-foreign-branches-account-balances,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,"ConsultaSaldosConsolidadosFiliales/V1.0
ConsultaSaldosProductosConsolidados/V1.0",TMP1 johucorr_AW0360010,,
15,API ONPREMISE,Accounts Reconciliation,100,Accounts Reconciliation - Reconciliation Data Query,accounts-reconciliation-data-query,Transversales no iSeries,Otras Funciones de Apoyo,Los Federales,GestionConciliacionClientes/V1.0,PORTALCOBRANZA_AW1294001,,
16,API ONPREMISE,ACHFulfillment,100,ACHFulfillment - Transfers,achfulfillment-transfers,Aceptación de Pagos,Gestión de flujos,Pagos,TransferenciasOtrosBancos/V1.0,No tiene,,
17,Servicio,No Aplica,No Aplica,Activar Acuerdo Trade,No Aplica,Captaciones,Financiación y consumo,Captaciones,,"AW0611001 _x000D_
AW0795",,
18,Servicio,No Aplica,No Aplica,Activar CDT,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"SU2 _x000D_
CDT _x000D_
AW0210001 _x000D_
SVP _x000D_
SU5 _x000D_
SVE _x000D_
AW1218001",,
19,Servicio,No Aplica,No Aplica,Administracion Combo Dinamico,No Aplica,Gestion Cliente y Comercial,Conocimiento de clientes,No Aplica,,No Tiene,,
20,Servicio,No Aplica,No Aplica,Administracion Convenios Cartera,No Aplica,Crédito,Financiación y consumo,,,"AW1285001 _x000D_
AW0856 _x000D_
AW0360007",,
21,Servicio,No Aplica,No Aplica,Administracion ITC,No Aplica,Trasversales e Inclusión,Distribución Digital,No Aplica,,AW1165,,
22,Servicio,No Aplica,No Aplica,Administracion Relacion Cliente Producto,No Aplica,Gestion Cliente y Comercial,Conocimiento de clientes,No Aplica,,NU0147001,,
23,Servicio,No Aplica,No Aplica,Administrar CDT,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"SU2 _x000D_
AW0210001 _x000D_
SVP _x000D_
GDE _x000D_
APP _x000D_
SU5 _x000D_
SVE",,
24,Servicio,No Aplica,No Aplica,Administrar Firma Documento,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,No Tiene,,
25,API ONPREMISE,Administrative Module,101,Administrative Module - File Notification,administrative-module-file-notification,Canales Pymes,Distribución Digital,No Aplica,,No tiene,,
26,API IBM Cloud ,Administrative Module,110,Administrative Module  Notifications,tec-administrative-module-notifications,Canales Pymes,Distribución Digital,No Aplica,,"GestionaNegocios_AW1302001 _x000D_
 BC_Herramientas_MonitoreoPrd _x000D_
 AppInversiones_AW1185001 _x000D_
 BilleteraMovil_AW1190001",,
27,Servicio,No Aplica,No Aplica,Adquirir Producto Seguro,No Aplica,SOA y APIs,Servicios e Integració​​​​​​​​​​​​​​n,No Aplica,,No Tiene,,
28,Servicio,No Aplica,No Aplica,Afectacion Monetaria AFC,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"SAI _x000D_
AFC _x000D_
SUC _x000D_
GOLF _x000D_
AW1110001",,
29,Servicio,No Aplica,No Aplica,Afectacion Monetaria Cuentas ACH,No Aplica,Captaciones,Gestión de flujos,Captaciones,,AW1170,,
30,Servicio,No Aplica,No Aplica,Afectacion Monetaria Depositos,No Aplica,Captaciones,Depósitos y cuentas especiales,Depósitos,,"AW01065 _x000D_
APIC _x000D_
NU0017001 _x000D_
AW0638 _x000D_
AW1269001 _x000D_
AW1170 _x000D_
AFC _x000D_
NU0004001 _x000D_
AW1078001 _x000D_
AW1300001 _x000D_
AW1311 _x000D_
AW1365 _x000D_
AW1298001 _x000D_
AW1011 _x000D_
AW0638001 _x000D_
AW1110001",,
31,Servicio,No Aplica,No Aplica,Afectaciones Monetarias Tarjetas Credito,No Aplica,Emisor,Medios de pago Emision,Digital Medios de Pago,,"PRODUCTORCONSUMIDOR _x000D_
AW1405001",,
32,Servicio,No Aplica,No Aplica,Almacenar Solicitud De Credito_BB11,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,"AW0499 _x000D_
AW1176 _x000D_
AW0922 _x000D_
AW0856",,
33,Servicio,No Aplica,No Aplica,Anulacion Factura Recaudo,No Aplica,Pagos y Recaudos,Gestión de flujos,Recaudos,,"PRODUCTORCONSUMIDOR _x000D_
NU0084001",,
34,Servicio,No Aplica,No Aplica,Arquear Documentos,No Aplica,Facilitadores Digitales,Evolución Digital,Evolución Digital,,AW0682001,,
35,Servicio,No Aplica,No Aplica,Asignar Primera Segunda Clave SVP,No Aplica,Filiales del Exterior,Financiación y consumo,Filiales del Exterior,,AW0718001,,
36,Servicio,No Aplica,No Aplica,Autenticacion Cliente,No Aplica,,Por Definir,Por Definir,,"AW1128 _x000D_
NU0051001 _x000D_
AW1291001 _x000D_
DEVELOPSOATEST",,
37,Servicio,No Aplica,No Aplica,Autenticacion Cliente DIAN,No Aplica,Pagos y Recaudos,Gestión de flujos,Recaudos o Gobierno e Impuestos,,AW01065,,
38,Servicio,No Aplica,No Aplica,Autenticacion Oauth,No Aplica,,Por Definir,Por Definir,,No Tiene,,
39,Servicio,No Aplica,No Aplica,Autenticacion Sufi,No Aplica,Sufi,SUFI,Sufi,,AW1209001,,
40,Servicio,No Aplica,No Aplica,Autenticar Cliente OTP,No Aplica,Seguridad,Autenticación y Monitoreo,Autorizaciones,,"APIC _x000D_
AW1177 _x000D_
AW0937 _x000D_
AW0748001 _x000D_
AW1170 _x000D_
AW1287001 _x000D_
NU0101001 _x000D_
NU0004001 _x000D_
AW1287 _x000D_
AW1128 _x000D_
AW1011 _x000D_
AW1185001 _x000D_
NU0100001 _x000D_
AW1316001 _x000D_
AW1277001 _x000D_
DEVELOPSOATEST _x000D_
NU0199001",,
41,Servicio,No Aplica,No Aplica,Autenticar Cliente OTP,No Aplica,Seguridad,Autenticación y Monitoreo,Autorizaciones,,AW0638,,
42,Servicio,No Aplica,No Aplica,Autenticar Cliente OTP,No Aplica,Seguridad,Autenticación y Monitoreo,Autorizaciones,,NU0100001,,
43,Servicio,No Aplica,No Aplica,Autenticar Compra VCAS,No Aplica,Seguridad,Autenticación y Monitoreo,Autorizaciones,,NU0101001,,
44,Servicio,No Aplica,No Aplica,Autenticar Usuario,No Aplica,Jornadas,Financiación y consumo,,,No Tiene,,
45,Servicio,No Aplica,No Aplica,Autenticar Usuario,No Aplica,Jornadas,Financiación y consumo,,,"AW1177 _x000D_
AW1170 _x000D_
AW1128",,
46,API ONPREMISE,Authorization,111,Authorization - Access Authorization,authorization-access-authorization,Seguridad,Autenticación y Monitoreo,Gestión de Identidades,,"pruebaBancolmbiaButton _x000D_
 PruebasIntegración _x000D_
 APP D Y S _x000D_
 FACTURE PAY _x000D_
 ALCALDIA DE MANIZALES _x000D_
 TRANSFIRIENDO _x000D_
 BANCOLOMBIAPAY APP _x000D_
 Moneygram_MNR _x000D_
 Botón _x000D_
 MONET COLOMBIA SAS",,
47,Servicio,No Aplica,No Aplica,Authorization Services,No Aplica,Seguridad,Galatea,,,ALM,,
48,API IBM Cloud ,Bancolombia Button,102,Bancolombia Button - Transference Management,bancolombia-button-transference-management,Servicios Transaccionales MP,Por Definir,Por Definir,,"WOMPI _x000D_
 BC_Herramientas_MonitoreoPrd",,
49,API IBM Cloud ,Bancolombia Button,202,Bancolombia Button - Transference Management,bancolombia-button-transference-management,Servicios Transaccionales MP,Por Definir,Por Definir,,"TIGOUNE _x000D_
 Tuya _x000D_
 Tigo une prueba APP _x000D_
 VIRGINMOBILEAPP _x000D_
 Baguer SAS _x000D_
 SERVICIOS DE SALUD IPS SURAMERICANA S.A.S. _x000D_
 OPERACIONES GENERALES SURAMERICANA SAS _x000D_
 SERVICIOS GENERALES SURAMERICANA S.A.S. _x000D_
 CONSULTORIA EN GESTION DE RIESGOS SURAMERICANA _x000D_
 SEGUROS GENERALES SURAMERICANA SA _x000D_
 SEGUROS DE VIDA SURAMERICANA SA _x000D_
 EPS SURAMERICANA S.A. _x000D_
 FONYOU COLOMBIA SAS _x000D_
 INVERSORA EBCO APP _x000D_
 ABC PAGOS _x000D_
 LYRAAPP _x000D_
 CLAROAPP _x000D_
 SUPERPAGOSAPP _x000D_
 ZONA PAGOS _x000D_
 Place to Pay _x000D_
 T atiendo Boton Bancolombia _x000D_
 Boton Bancolombia _x000D_
 E-collect _x000D_
 App_Blendex_BotonBancolombia _x000D_
 ofrendaappbc _x000D_
 ALKOSTO BOTON BANCOLOMBIA _x000D_
 WOMPI APP _x000D_
 BC_Herramientas_MonitoreoPrd _x000D_
 COMFAMA APP _x000D_
 SISTECREDITO SAS _x000D_
 PAYMENTEZ APP _x000D_
 FONVALMED",,
50,API ONPREMISE,Bancolombia Button,302,Bancolombia Button - Transference Management,bancolombia-button-transference-management,Emisor,Medios de pago Emision,Tarjetas Crédito,,"pruebaBancolmbiaButton _x000D_
 PruebasIntegración _x000D_
 APP D Y S _x000D_
 MonitoreoDCM_AAA _x000D_
 FACTURE PAY _x000D_
 ALCALDIA DE MANIZALES _x000D_
 TRANSFIRIENDO _x000D_
 Botón",,
51,API ONPREMISE,BancolombiaPay,100,BancolombiaPay - Customer,bancolombiapay-customer,SOA y APIs,Baas-Depositos como Servicio,Bancolombia Pay,,"BANCOLOMBIAPAY APP _x000D_
 MONET COLOMBIA SAS",,
52,API ONPREMISE,BancolombiaPay,100,BancolombiaPay - OTP,bancolombiapay-otp,SOA y APIs,Baas-Depositos como Servicio,Bancolombia Pay,,"BANCOLOMBIAPAY APP _x000D_
 MONET COLOMBIA SAS",,
53,API ONPREMISE,BancolombiaPay,100,BancolombiaPay - Terms,bancolombiapay-terms,SOA y APIs,Baas-Depositos como Servicio,Bancolombia Pay,,"BANCOLOMBIAPAY APP _x000D_
 MONET COLOMBIA SAS",,
54,API ONPREMISE,BancolombiaPay,100,BancolombiaPay - Wallet,bancolombiapay-wallet,SOA y APIs,Baas-Depositos como Servicio,Bancolombia Pay,,"BANCOLOMBIAPAY APP _x000D_
 MONET COLOMBIA SAS",,
55,API ONPREMISE,BancolombiaPay,100,BancolombiaPay - Wallet Balance,bancolombiapay-wallet-balance,SOA y APIs,Baas-Depositos como Servicio,Bancolombia Pay,,"BANCOLOMBIAPAY APP _x000D_
 MONET COLOMBIA SAS",,
56,API ONPREMISE,BancolombiaPay,100,BancolombiaPay - Wallet Payment,bancolombiapay-wallet-payment,SOA y APIs,Baas-Depositos como Servicio,Bancolombia Pay,,"BANCOLOMBIAPAY APP _x000D_
 MONET COLOMBIA SAS",,
57,API ONPREMISE,Bank Account,100,Bank Account - Accounts Opening,bank-account-accounts-opening,Captaciones,Depósitos y cuentas especiales,Depósitos,,"APP_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR",,
58,API ONPREMISE,Bank Account,100,Bank Account - Plan Changing,bank-account-plan-changing,Captaciones,Depósitos y cuentas especiales,Depósitos,CambioPlanCuenta/V1.0,"APP_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 APP_PRODUCTORCONSUMIDOR _x000D_
 APP_PRODUCTORCONSUMIDOR",,
59,API ONPREMISE,Bill Payment,160,Bill Payment - Management,bill-payment-management,Pagos y Recaudos,Gestión de flujos,Recaudos,,"APIC_PRODUCTORCONSUMIDOR _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_CJGIRALD _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_YSEBASDO _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_JJESPITI _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_DANVA _x000D_
 APIC_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 MonitoreoDCM_NU0084001_Recaudos",,
60,API ONPREMISE,Bill Payment,160,Bill Payment - Scheduled Information,bill-payment-scheduled-information,Pagos y Recaudos,Gestión de flujos,Recaudos,ConsultaPagoProgramado/V1.0,"APIC_PRODUCTORCONSUMIDOR _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_CJGIRALD _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_YSEBASDO _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_JJESPITI _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_DANVA _x000D_
 APIC_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 MonitoreoDCM_NU0084001_Recaudos",,
61,API ONPREMISE,Bill Payment,160,Bill Payment - Schedules,bill-payment-schedules,Pagos y Recaudos,Gestión de flujos,Recaudos,,"APIC_PRODUCTORCONSUMIDOR _x000D_
 MascaraTransaccional_NU0021001 _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_CJGIRALD _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_YSEBASDO _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_JJESPITI _x000D_
 APIC_PRODUCTORCONSUMIDOR_PDN_DANVA _x000D_
 APIC_PRODUCTORCONSUMIDOR _x000D_
 MonitoreoDCM_NU0084001 _x000D_
 MonitoreoDCM_NU0084001_Recaudos",,
